date,date,er,g,z,d,y,pi,c,R,ylag
1.0,1.0,0.0019595626329911705,-7.595292091655548e-5,0.001716804570395275,-0.051438911193948514,-0.0031012776335611037,-0.0020232447462652085,-0.0030253247126445495,-0.00014760892725736597,0.0030648685070173492
2.0,2.0,-0.0018774660695333413,0.004140401142022637,-0.0002602413952503623,-0.042283416102772683,0.0023479098326873705,-9.974907299360085e-5,-0.0017924913093352664,-0.0010303892993802771,-0.0031012776335611037
3.0,3.0,0.0009449979692695556,0.003707797237746412,0.008807198278727323,-0.05370791309377238,-2.5765423691419265e-5,-0.0021280214984614057,-0.0037335626614378305,0.00027508586294571554,0.0023479098326873705
4.0,4.0,0.0014919489328590987,0.002677205397550828,0.009526748787867911,-0.03554455740093372,-0.002431557383713078,-0.0030989021926217204,-0.005108762781263905,0.0014962960213102425,-2.5765423691419265e-5
5.0,5.0,-0.001592097086764202,0.004607039553932952,0.010453388640990949,-0.017163207793539303,0.0007016573025285591,-0.0019240590231216852,-0.0039053822514043927,0.0012674032903983016,-0.002431557383713078
6.0,6.0,-0.0005624688726990853,0.003479679252980149,0.000728881213676506,-0.00528153572435199,0.0009229427734390858,-0.000546509711747479,-0.0025567364795410627,0.0003535013796899252,0.0007016573025285591
7.0,7.0,-0.0006865449314351248,0.004067800184858636,0.001470523380108617,0.009159827772184808,0.0025931744595611827,0.00018131776107639154,-0.0014746257252974534,0.0003061294010577588,0.0009229427734390858
8.0,8.0,0.00017509529057543112,-0.0013437245675784596,0.0015833747911696073,-0.01526965044450257,-0.0014670648813147188,-0.00053299607918661,-0.00012334031373625854,-0.0003426246014978326,0.0025931744595611827
9.0,9.0,-0.0007637529646579258,0.0037059572096086743,0.007040306711795889,-0.03841539835407035,0.0009541923235923638,-0.0013550506781315089,-0.00275176488601631,0.00011198752918920539,-0.0014670648813147188
10.0,10.0,0.0020634190008715866,0.006510459411418467,-0.013879918229188512,-0.02818656104873949,0.0013641254036115102,-9.660101791481761e-5,-0.005146334007806957,-0.0005373405943299483,0.0009541923235923638
11.0,11.0,-0.001676062491005606,0.005870678028614936,-0.023990252342766083,-0.037676609372988126,0.006298004252413812,0.003655701723749179,0.000427326223798877,-0.003940019274936893,0.0013641254036115102
12.0,12.0,-0.0007557009812893672,0.011934850199026216,-0.012063858450565419,-0.04994498279062558,0.011409534235244646,0.0034690320273878766,-0.0005253159637815721,-0.0034664761266731655,0.006298004252413812
13.0,13.0,0.0008547255315499192,0.011925920824482836,-0.0024112341185728516,-0.04402939594738724,0.009642875536694068,0.0017124341283926581,-0.002283045287788766,-0.0018468566151806233,0.011409534235244646
14.0,14.0,-0.001238249958511366,0.00758430945665948,-0.0003528792107311791,-0.056757087934009146,0.007240673766594748,0.001505135247981014,-0.00034363569006473074,-0.0024730607939485155,0.009642875536694068
15.0,15.0,0.0024447409255712563,0.006843877751084846,0.0042766856699153885,-0.0586219611383163,0.002567667749882786,-0.0012970761790075539,-0.00427621000120206,-0.00028586611064361197,0.007240673766594748
16.0,16.0,0.0015741385235757913,0.007908566657368213,0.003716580772678055,-0.06977966964535792,0.0008290286704000012,-0.0025546507938486794,-0.007079537986968212,0.0004047037941258618,0.002567667749882786
17.0,17.0,0.0007013545233281618,0.0014259546319732048,0.0004488320442944903,-0.05873171725403495,-0.00208816233579623,-0.0018385900151581189,-0.0035141169677694348,-0.0004147476057861112,0.0008290286704000012
18.0,18.0,0.0009696328520518755,0.003527990421876808,-0.0016926044215150654,-0.03183822647515659,-0.000202106462225291,-0.0011548967463327737,-0.003730096884102099,7.520494393289533e-5,-0.00208816233579623
19.0,19.0,-3.299953667477252e-5,0.002175866152556351,0.004843302043641028,-0.04608469473260341,-0.0008090539174554034,-0.0016937382345612775,-0.0029849200700117545,-2.3253964171781087e-5,-0.000202106462225291
20.0,20.0,-0.002439014495243718,0.0019795012072973328,0.005791962651047051,-0.018875012747826565,0.002302934234645307,0.00013435095215148817,0.0003234330273479743,-0.000642580814045409,-0.0008090539174554034
21.0,21.0,-0.0012073854166219228,0.0028442072415804185,0.008331173175850942,-0.025557874988776878,0.00225538445800247,-0.0004131885587896314,-0.0005888227835779485,-0.0003127179321840702,0.002302934234645307
22.0,22.0,0.0010986918395512345,-0.0004994644906113456,0.0031320824335709474,-0.02275085396062818,-0.0018276668235253173,-0.0011791906955832083,-0.0013282023329139715,4.894843790116953e-5,0.00225538445800247
23.0,23.0,0.0017122143422950598,-0.0034243290355259253,0.004688249255959119,-0.028522942570635583,-0.005463822615881478,-0.0024695479180091473,-0.0020394935803555525,0.0006734184941174189,-0.0018276668235253173
24.0,24.0,-0.001910739236008045,-0.0017899398196579207,0.009582645544960893,-0.06751903516454413,-0.003431605944424569,-0.0024530860405549363,-0.0016416661247666481,-0.00037109618738478777,-0.005463822615881478
25.0,25.0,-0.0036629944673727917,-0.0028748718027920865,0.00804402631812007,-0.049095139119886014,-0.00011496092239010516,-7.821179623600976e-5,0.0027599108804019818,-0.0017738499686530593,-0.003431605944424569
26.0,26.0,-0.004250854128270094,-0.005833240357870771,0.0013292965403917615,-0.05904883220911983,0.001205319458919921,0.0020749292096619043,0.007038559816790693,-0.004071653837514804,-0.00011496092239010516
27.0,27.0,0.003037736572231285,-0.006888662269756078,-0.0020528891838144142,-0.06842037446880042,-0.004778309633619009,-0.0007240547069830494,0.0021103526361370695,-0.0021712525275769984,0.001205319458919921
